Date,Open,High,Low,Close,Adj Close,Volume
2016-05-13,482,483.5,476.200012,479.799988,463.13208,1078921
2016-05-16,479,494.899994,477.850006,486.950012,470.033722,1732776
2016-05-17,489,493.899994,481.799988,483.799988,466.993103,868879
2016-05-18,481.049988,486.25,480,484.75,467.910126,1371699
2016-05-19,484.200012,487.5,481.149994,484,467.186188,1292336
2016-05-20,482.299988,489.450012,474.850006,475.850006,459.319305,741237
2016-05-23,478.100006,481,472.799988,476.450012,459.898468,1069529
2016-05-24,476,485.700012,464.600006,480.25,463.566437,2610091
2016-05-25,499.100006,532,494.5,528.5,510.140259,10804773
2016-05-26,530,547,520.25,542.299988,523.460876,3270866
2016-05-27,539,541,533.599976,535.900024,517.283264,1572528
2016-05-30,535.799988,564,535,543.549988,524.667419,2901801
2016-05-31,544.099976,548,536.650024,540.349976,521.578613,2896981
2016-06-01,541,543.200012,537.299988,540,521.240784,1093756
2016-06-02,537,552.5,537,546.150024,527.177124,1862166
2016-06-03,551.450012,557.549988,546.150024,551.700012,532.534302,1706048
2016-06-06,550.799988,551.900024,534.25,539.599976,520.854614,1614098
2016-06-07,544.900024,544.900024,533.450012,536.299988,517.669312,1763517
2016-06-08,540,540,533,535.650024,517.041931,739380
2016-06-09,537.900024,537.900024,528.299988,534.450012,515.883606,1085142
2016-06-10,535.700012,540.450012,530.75,537.549988,518.875916,565211
2016-06-13,534.200012,536.400024,528.549988,534.099976,515.545776,852440
2016-06-14,531.049988,537.400024,528.5,533.299988,514.77356,736886
2016-06-15,535,542,530,540.900024,522.109558,648970
2016-06-16,537.049988,543.349976,530.5,533.099976,514.580505,1181394
2016-06-17,533.099976,542,532.299988,535.25,516.655762,946013
2016-06-20,534,548.849976,532.099976,544.299988,525.391418,1592795
2016-06-21,543.900024,544.299988,533,535,516.41449,1344360
2016-06-22,540.799988,542,530.549988,532.75,514.242676,1211966
2016-06-23,533.099976,535,526.650024,531.349976,512.891296,1027592
2016-06-24,513,516.950012,493.549988,507.049988,489.435425,3567473
2016-06-27,499,509,499,504.649994,487.118835,1135682
2016-06-28,505,512.599976,500.100006,501,483.595612,1518673
2016-06-29,504.5,507.25,499.299988,504.950012,487.408417,1209538
2016-06-30,509.100006,509.700012,502.350006,505.75,488.180603,2334281
2016-07-01,508.200012,516.549988,506.299988,511.399994,493.634338,715389
2016-07-04,511,524,510.549988,519.099976,501.066833,1250195
2016-07-05,516.799988,519,513.049988,515.25,497.350586,456205
2016-07-07,512.799988,515,503.5,504.549988,487.022278,1036078
2016-07-08,501,507.450012,499,502.950012,485.477905,733349
2016-07-11,505.950012,512.400024,504.450012,508.399994,490.738556,729356
2016-07-12,509.149994,511.899994,505,507.200012,489.580261,931824
2016-07-13,509,511.5,504.950012,506.549988,488.95282,1194115
2016-07-14,506.950012,519.5,506.5,518.150024,500.149872,753846
2016-07-15,520.700012,523.799988,501.899994,504.049988,486.539673,2417368
2016-07-18,505.100006,509.899994,503,506.600006,489.001068,1132642
2016-07-19,506.799988,511.899994,504.049988,507.600006,489.96637,1013525
2016-07-20,504.25,509.600006,504.100006,505.350006,487.794525,1424321
2016-07-21,506,508.5,503.200012,505.299988,487.746216,528981
2016-07-22,507,508.5,504.399994,504.899994,487.360107,1008674
2016-07-25,505,511.399994,502.799988,508.399994,490.738556,1028518
2016-07-26,508,512.75,500,502.5,485.043518,3069751
2016-07-27,502.100006,506.450012,501.100006,504.25,486.732727,744952
2016-07-28,498,499,482.100006,485.549988,474.326263,1867921
2016-07-29,488.950012,490.899994,482.549988,487.950012,476.670837,1134853
2016-08-01,485.200012,493,476.100006,490.149994,478.819946,2125956
2016-08-02,486,509.700012,485.100006,499.200012,487.660767,4792350
2016-08-03,501.200012,503.950012,493.100006,496.899994,485.41391,1196987
2016-08-04,498.899994,503.899994,494.200012,499.950012,488.393433,793067
2016-08-05,502,507.5,493.299988,495.049988,483.606689,1681614
2016-08-08,496,504.5,496,503.649994,492.007904,913042
2016-08-09,505,505.799988,495.549988,502.5,490.884491,1299439
2016-08-10,504,504,491.5,497.200012,485.707001,1326514
2016-08-11,501,501.899994,495.299988,500.100006,488.539978,1681953
2016-08-12,504,504,488.399994,493.350006,481.945984,3618973
2016-08-16,490.549988,491.75,478.25,482.950012,471.786407,2087382
2016-08-17,483.100006,487,472.200012,474.649994,463.678253,913427
2016-08-18,477.649994,478.700012,468.25,469.5,458.647308,1005420
2016-08-19,470,477.200012,470,473.200012,462.26178,3664586
2016-08-22,472,474.299988,465,466.350006,455.570099,1107412
2016-08-23,466.700012,474.5,461.5,465.799988,455.032806,1617568
2016-08-24,467,471.700012,463.5,467.049988,456.253906,894108
2016-08-25,470.200012,470.950012,455.899994,458.100006,447.510803,1769817
2016-08-26,460,463.700012,457,459.950012,449.318054,857182
2016-08-29,462.700012,462.700012,448.549988,449.549988,439.158447,797904
2016-08-30,451.5,464.700012,451.200012,462.950012,452.248718,981748
2016-08-31,462,473.799988,461.549988,468.799988,457.96347,1779070
2016-09-01,470,476.399994,466.299988,469.149994,458.305389,1046734
2016-09-02,469.950012,474.200012,465.950012,471.850006,460.942993,1070131
2016-09-06,470,481.25,467.399994,480.049988,468.9534,1553926
2016-09-07,481.200012,483.5,470.149994,471.850006,460.942993,1254946
2016-09-08,465,466.950012,455,459.049988,448.438843,3145694
2016-09-09,458,465.450012,451.299988,458.299988,447.706177,1469794
2016-09-12,454,466.399994,453,463.850006,453.127899,1746181
2016-09-14,466.700012,472.600006,463.649994,466.700012,455.912018,1321007
2016-09-15,469,471.899994,460.799988,462.75,452.053314,956858
2016-09-16,467.399994,469,459,465.299988,454.544373,1477056
2016-09-19,468.200012,474.700012,464.350006,466.600006,455.814331,1134564
2016-09-20,469,469,460.25,462.200012,451.516052,913111
2016-09-21,464,465.75,455.100006,461.149994,450.490295,2142358
2016-09-22,465,466.799988,453.75,454.75,444.238251,2766927
2016-09-23,458,458,452.850006,454.600006,444.091705,2221151
2016-09-26,452.049988,454.200012,446,448.950012,438.572327,1027167
2016-09-27,446,453.399994,446,447.850006,437.497742,1306463
2016-09-28,449,449,439.399994,440.5,430.317627,1785763
2016-09-29,444,444,424.299988,427.149994,417.276215,4331711
2016-09-30,435,435,418.700012,419.850006,410.144989,2210429
2016-10-03,420,425,418.200012,420.700012,410.975342,1754766
2016-10-04,424.649994,431.899994,422.25,428.700012,418.790405,2145572
2016-10-05,431.100006,433,423.25,425.299988,415.468994,1476240
2016-10-06,425,428.649994,419.149994,420.75,411.02417,1559084
2016-10-07,421.899994,424.399994,417.200012,419.75,410.047302,1562901
2016-10-10,421.5,424.799988,417,421.850006,412.098755,997527
2016-10-13,421.700012,424.700012,417.5,422.200012,412.440674,2473032
2016-10-14,423.5,429.649994,418,419.100006,409.412323,6379695
2016-10-17,421,421,405.5,408.549988,399.106171,3248168
2016-10-18,408,430.799988,405.75,425.100006,415.273621,7264158
2016-10-19,427.850006,436.450012,419.100006,424.899994,415.078247,4525016
2016-10-20,424.25,429.200012,421.200012,425,415.175934,2133653
2016-10-21,428.850006,436.100006,422.200012,434.100006,424.065582,4853235
2016-10-24,436,438.5,427.600006,429.149994,419.230011,2292196
2016-10-25,431,437.75,429.299988,434.049988,424.016724,1684650
2016-10-26,434,435,421.950012,423.049988,413.270996,2685974
2016-10-27,423,426.549988,412.649994,414.100006,404.527893,3706854
2016-10-28,429,444,429,435.649994,425.579742,12710319
2016-11-01,436,436,429.549988,433.549988,423.52829,4643934
2016-11-02,422.25,433.450012,422.25,429.799988,419.86496,3387397
2016-11-03,431,432,424,428,418.106598,2159069
2016-11-04,428,434.899994,414.799988,430.049988,420.109192,7835863
2016-11-07,435,449.450012,430.549988,444.850006,434.567108,7039296
2016-11-08,446.200012,455.799988,445.350006,454.149994,443.6521,5501834
2016-11-09,419.899994,444,409,434.5,424.456329,4852450
2016-11-10,447.5,449.149994,435,442.25,432.027191,3301285
2016-11-11,440,440,428,429.399994,419.474213,1161656
2016-11-15,435,437.200012,427.299988,430.950012,420.988403,6787283
2016-11-16,434,448,433,443.600006,433.345978,9156138
2016-11-17,447,455,439.5,441.850006,431.636444,2616362
2016-11-18,440,449,437.799988,445.299988,435.006683,2041621
2016-11-21,445.899994,452,440.899994,447.149994,436.813904,2718966
2016-11-22,448,455,446.200012,453.399994,442.919434,2409601
2016-11-23,457,458.950012,448.049988,453.100006,442.626404,1950811
2016-11-24,450.700012,464.5,450.100006,458.649994,448.048096,2574455
2016-11-25,461.899994,489.5,461.149994,487.25,475.987,4561987
2016-11-28,485.950012,495.850006,482.5,489.350006,478.038452,2279428
2016-11-29,489.399994,494.399994,481.299988,483.850006,472.665588,2029150
2016-11-30,487.25,489.799988,481.350006,485.200012,473.984406,2604888
2016-12-01,480.049988,485.200012,471.399994,475.049988,464.069,2059534
2016-12-02,477,481.950012,471,473.399994,462.457123,2450542
2016-12-05,467,476.600006,459.350006,462.399994,451.711395,1727408
2016-12-06,463,469.5,462.399994,465.450012,454.690918,1073627
2016-12-07,468.850006,470,453.75,455.600006,445.068604,1540255
2016-12-08,459.899994,465.600006,457.100006,463.75,453.030212,1158682
2016-12-09,467,474.950012,465,471.700012,460.796448,2017058
2016-12-12,473.950012,474.049988,466.700012,469.399994,458.549591,709914
2016-12-13,470,487.5,467.299988,484.549988,473.349396,1863492
2016-12-14,484,487,473.350006,476.649994,465.632019,1702307
2016-12-15,475.25,482,468.049988,477.450012,466.413544,3292408
2016-12-16,481.399994,482.100006,475,477.149994,466.120453,2185723
2016-12-19,474,475.600006,470.450012,473.350006,462.408295,1389090
2016-12-20,476.899994,480.75,473.649994,476.75,465.729706,1919780
2016-12-21,478,479.600006,472.5,474.450012,463.48288,667563
2016-12-22,472.299988,477.200012,464.549988,473.950012,462.994446,932766
2016-12-23,474,477.450012,465.25,467.100006,456.302765,942216
2016-12-26,463.25,468.049988,460.399994,463.600006,452.883667,572307
2016-12-27,460.5,474,460.049988,468.200012,457.37735,1061513
2016-12-28,469,477,469,474.149994,463.189789,1658315
2016-12-29,471.049988,484.450012,469.5,482.700012,471.542175,2079991
2016-12-30,482,493,482,488.899994,477.598846,1817123
2017-01-02,494.5,496.899994,486.5,488,476.719666,1203138
2017-01-03,488.700012,495,487.200012,491.549988,480.187592,1006546
2017-01-04,490,504.5,488.549988,500.600006,489.028412,1989140
2017-01-05,505,507,485.950012,488.100006,476.817352,2295824
2017-01-06,487.5,487.899994,466.200012,469.75,458.89151,3307502
2017-01-09,465.049988,477.899994,462,473.450012,462.506012,1812454
2017-01-10,474.350006,475,467.649994,473.5,462.55484,1634891
2017-01-11,473.299988,478.450012,469,474.049988,463.092102,2058634
2017-01-12,475,486.799988,472.200012,481.200012,470.076843,1970093
2017-01-13,484.200012,492.899994,481.899994,488.5,477.208099,2754723
2017-01-16,488.25,490.549988,479,487.149994,475.889313,1258527
2017-01-17,488,495,484.700012,486.75,475.498566,1233813
2017-01-18,488,494.899994,481.5,483.649994,472.470215,1336551
2017-01-19,480,485.25,477.450012,481.399994,470.272217,1586512
2017-01-20,476,484,466,468.649994,457.816925,1442119
2017-01-23,465,471.799988,460.799988,469.700012,458.842682,1400660
2017-01-24,471.399994,473.5,465.399994,469.899994,459.038055,1255925
2017-01-25,470.25,473.75,462.200012,465.649994,454.886292,3368794
2017-01-27,465.399994,470.600006,463.200012,467.100006,456.302765,1795089
2017-01-30,467,478,461.200012,471.600006,460.698761,3024028
2017-01-31,484.700012,484.700012,425.5,452.200012,441.747192,7804620
2017-02-01,452.25,457,436.450012,449.700012,439.304993,4061099
2017-02-02,449.700012,465,440,461.100006,450.441467,3771089
2017-02-03,464.100006,482,464.100006,480.450012,469.344177,2677019
2017-02-06,481.049988,488.600006,471.200012,477.5,466.462372,2105323
2017-02-07,480,480,469.100006,470.850006,459.966095,1794349
2017-02-08,470,483.75,468.799988,474.600006,463.629425,1754215
2017-02-09,477.899994,486.75,474.5,485,473.789001,3013021
2017-02-10,490,503.5,486,499.899994,488.344574,7225481
2017-02-13,500,504.700012,495.5,499.649994,488.100342,1903851
2017-02-14,501,508.549988,500.350006,504.600006,492.935944,2664728
2017-02-15,503.25,511.600006,489.100006,495.649994,484.19281,2584154
2017-02-16,494.049988,505.5,494.049988,504.5,492.838257,2591411
2017-02-17,502.299988,505,496,503.5,491.861359,1688519
2017-02-20,503.549988,507.399994,497,499.950012,488.393433,2610984
2017-02-21,500,515.25,500,507.899994,496.159668,3268863
2017-02-22,508.5,511.399994,503.600006,507.950012,496.208527,3036464
2017-02-23,508,515,499.799988,503.649994,492.007904,5868525
2017-02-27,500.25,510.049988,495,499.799988,488.246887,2250245
2017-02-28,506,509,488.450012,499.399994,487.85614,31171453
2017-03-01,488.950012,502.200012,487.950012,499.75,488.198059,1979476
2017-03-02,503,505.049988,497.299988,499.899994,488.344574,2392413
2017-03-03,501.100006,505.350006,500,503.700012,492.056763,2136886
2017-03-06,499.799988,505.75,494.600006,499.950012,488.393433,1234125
2017-03-07,506,507.25,498.600006,499.950012,488.393433,3221133
2017-03-08,499.5,503.100006,488.100006,491.899994,480.52951,1430424
2017-03-09,493,495.5,487.549988,488.950012,477.647705,1752351
2017-03-10,493.5,497.299988,474.5,475.799988,464.801666,3875776
2017-03-14,482,485.899994,476.200012,479.850006,468.758057,4483127
2017-03-15,483.399994,484.75,471.600006,479.649994,468.562653,3941570
2017-03-16,482,483.850006,478.5,481.100006,469.979156,4191349
2017-03-17,485.5,487.799988,469.350006,484.25,473.056335,5857451
2017-03-20,483,491,480.100006,481.899994,470.760651,3734239
2017-03-21,482,484.5,475.049988,476.950012,465.92511,4422809
2017-03-22,477,479.5,472.850006,475.399994,464.410919,2797599
2017-03-23,476.899994,483.5,475.600006,482.149994,471.004883,3259747
2017-03-24,482,482,472,474.149994,463.189789,2203312
2017-03-27,474,477.649994,463.200012,468.799988,457.96347,2457180
2017-03-28,471.700012,471.700012,454.649994,455.700012,445.16629,5722292
2017-03-29,459,459.899994,451.200012,458.25,447.657349,3227158
2017-03-30,459.5,463.5,455.5,461.200012,450.539154,4028816
2017-03-31,462,464,454.600006,459.149994,448.53653,2581903
2017-04-03,457,459,450.75,453.100006,442.626404,1914496
2017-04-05,454,456.600006,445.450012,446.950012,436.618561,2902998
2017-04-06,446.950012,448.399994,441.299988,446.899994,436.569702,1926091
2017-04-07,447.950012,454.549988,442.049988,443.200012,432.955231,3125291
2017-04-10,445,448.700012,441.5,443.049988,432.808685,2111378
2017-04-11,443.100006,446.700012,440,445.200012,434.908997,1861086
2017-04-12,446.700012,447.350006,435.549988,437.649994,427.533508,1728894
2017-04-13,438,442.799988,427.850006,429.950012,420.011536,1543616
2017-04-17,429.950012,429.950012,420.049988,421.950012,412.196442,2595117
2017-04-18,422,425.899994,416.950012,418.899994,409.216919,2338492
2017-04-19,419.5,425.5,412.450012,414.299988,404.723267,2638642
2017-04-20,415,422.799988,414.5,420.5,410.779938,2818261
2017-04-21,425,431.799988,422.200012,427.649994,417.764679,2668714
2017-04-24,430.5,431.299988,424.299988,429.25,419.327698,1709076
2017-04-25,432.5,440.100006,429.25,438.149994,428.021942,2575089
2017-04-26,440,441.950012,424.100006,427.049988,417.178528,3721058
2017-04-27,426.200012,428.700012,422.5,424.950012,415.127106,1450414
2017-04-28,425.5,428.799988,416,416.950012,407.312012,1945081
2017-05-02,420.899994,425,416.649994,418.149994,408.484253,1568455
2017-05-03,419,421.399994,418.149994,419.850006,410.144989,1746287
2017-05-04,420,422.799988,416.649994,419.100006,409.412323,1009112
2017-05-05,418.899994,419.399994,410.399994,413,403.453308,1541496
2017-05-08,413.399994,423,412,421.149994,411.414917,1938018
2017-05-09,422.600006,432,420.899994,426.200012,416.348206,4402442
2017-05-10,428.5,434.299988,427.200012,430.399994,420.451111,2018816
2017-05-11,432,435.899994,426.200012,434.75,424.700562,2060011
2017-05-12,434.75,444.600006,434.649994,442.25,432.027191,2696277
